Seoul_Geumcheon-gu,1273616
Yeoncheon-gun,17
Gapyeong-gun,47
Osan-si,298
Yangpyeong-gun,907
Incheon_Dong-gu,5257
Pocheon-si,7305
Incheon_Jung-gu,7902
Dongducheon-si,9149
Incheon_Yeonsu-gu,29206
Hwaseong-si,33708
Yangju-si,41750
Gwangju-si,44354
Incheon_Nam-gu,47443
Paju-si,54381
Incheon_Namdong-gu,56047
Uiwang-si,66540
Siheung-si,69282
Incheon_Seo-gu,73011
Ansan-si,95429
Incheon_Gyeyang-gu,104730
Gunpo-si,106260
Gimpo-si,122812
Gwacheon-si,142904
Incheon_Bupyeong-gu,147115
Suwon-si,162483
Yongin-si,177922
Hanam-si,289742
Uijeongbu-si,380902
Anyang-si,397039
Namyangju-si,443898
Guri-si,477136
Bucheon-si,694821
Goyang-si,739937
Gwangmyeong-si,805065
Seongnam-si,818520
Seoul_Dobong-gu,1577082
Seoul_Eunpyeong-gu,1814219
Seoul_Gangbuk-gu,1829166
Seoul_Gangdong-gu,2066628
Seoul_Jungnang-gu,2078250
Seoul_Dongjak-gu,2127721
Seoul_Seodaemun-gu,2130795
Seoul_Guro-gu,2133254
Seoul_Yangcheon-gu,2269744
Seoul_Gwanak-gu,2283046
Seoul_Seongdong-gu,2328298
Seoul_Nowon-gu,2526938
Seoul_Gwangjin-gu,2588207
Seoul_Gangseo-gu,2592258
Seoul_Seongbuk-gu,2598431
Seoul_Dongdaemun-gu,2661909
Seoul_Jongno-gu,2872840
Seoul_Yongsan-gu,2924117
Seoul_Songpa-gu,3104537
Seoul_Mapo-gu,3222729
Seoul_Jung-gu,3513430
Seoul_Seocho-gu,3563223
Seoul_Yeongdeungpo-gu,3575988
Seoul_Gangnam-gu,4881447
