COUNTY,NUMBER
Seoul_Jongno-gu,1111
Seoul_Jung-gu,1114
Seoul_Yongsan-gu,1117
Seoul_Seongdong-gu,1120
Seoul_Gwangjin-gu,1121
Seoul_Dongdaemun-gu,1123
Seoul_Jungnang-gu,1126
Seoul_Seongbuk-gu,1129
Seoul_Gangbuk-gu,1130
Seoul_Dobong-gu,1132
Seoul_Nowon-gu,1135
Seoul_Eunpyeong-gu,1138
Seoul_Seodaemun-gu,1141
Seoul_Mapo-gu,1144
Seoul_Yangcheon-gu,1147
Seoul_Gangseo-gu,1150
Seoul_Guro-gu,1153
Seoul_Geumcheon-gu,1154
Seoul_Yeongdeungpo-gu,1156
Seoul_Dongjak-gu,1159
Seoul_Gwanak-gu,1162
Seoul_Seocho-gu,1165
Seoul_Gangnam-gu,1168
Seoul_Songpa-gu,1171
Seoul_Gangdong-gu,1174
Incheon_Jung-gu,2811
Incheon_Dong-gu,2814
Incheon_Nam-gu,2817
Incheon_Yeonsu-gu,2818
Incheon_Namdong-gu,2820
Incheon_Bupyeong-gu,2823
Incheon_Gyeyang-gu,2824
Incheon_Seo-gu,2826
Ganghwa-gun,2871
Ongjin-gun,2872
Suwon-si,4111
Seongnam-si,4113
Uijeongbu-si,4115
Anyang-si,4117
Bucheon-si,4119
Gwangmyeong-si,4121
Pyeongtaek-si,4122
Dongducheon-si,4125
Ansan-si,4127
Goyang-si,4128
Gwacheon-si,4129
Guri-si,4131
Namyangju-si,4136
Osan-si,4137
Siheung-si,4139
Gunpo-si,4141
Uiwang-si,4143
Hanam-si,4145
Yongin-si,4146
Paju-si,4148
Icheon-si,4150
Anseong-si,4155
Gimpo-si,4157
Hwaseong-si,4159
Gwangju-si,4161
Yangju-si,4163
Pocheon-si,4165
Yeoju-si,4173
Yeoncheon-gun,4180
Gapyeong-gun,4182
Yangpyeong-gun,4183
